dForagingSD,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,choice_int,choice_slope,num_femlarva,num_malelarva,num_adults
0.5,26,3.0914,24,24,-1,-1,1,-1,1,1,1,0,0,1,0,1,-1,-4.97336,0.123336,-0.0452988,0,1,1
0.5,27,3.15491,5,5,-1,-1,1,-1,1,0,1,0,0,1,0,1,-1,-4.98111,0.0492701,-0.0432472,0,0,1
0.5,28,3.19515,22,22,-1,-1,1,-1,1,1,1,0,0,1,0,1,-1,-4.97135,0,-0.0222648,0,0,1
0.5,29,3.23453,20,20,-1,-1,1,-1,1,0,1,0,0,1,0,1,-1,-4.9379,0.098107,-0.0318681,0,0,1
0.5,30,3.23488,14,14,-1,-1,1,-1,1,1,1,0,1,1,0,1,-1,-4.88271,-0.0251456,0.16185,1,0,1
0.5,31,3.38128,3,3,-1,-1,1,-1,1,0,1,0,0,1,0,1,-1,-5.06193,0.004106,-0.0844276,0,1,1
0.5,32,3.44633,12,12,-1,-1,1,-1,1,0,1,0,1,1,0,1,-1,-4.98485,0.0372551,0,1,0,1
0.5,33,3.52225,10,10,-1,-1,1,-1,1,1,1,0,0,1,0,1,-1,-5.0804,-0.0950704,-0.0307929,0,1,1
0.5,34,3.53649,9,9,-1,-1,1,-1,1,0,1,0,0,1,0,1,-1,-4.94612,0.0266136,-0.118661,0,1,1
0.5,35,3.56717,16,16,-1,-1,1,-1,1,1,1,0,1,1,0,1,-1,-4.78315,-0.0172881,-0.055587,1,0,1
0.5,36,3.59967,11,11,-1,-1,1,-1,1,1,1,0,0,1,0,1,-1,-5.08048,-0.065687,-0.0127983,0,1,1
0.5,37,3.68177,15,15,-1,-1,1,-1,1,0,1,0,0,1,0,1,-1,-4.91444,0.0186041,0.00867049,0,0,1
0.5,38,3.78048,6,6,-1,-1,1,-1,1,0,1,0,1,1,0,1,-1,-4.95884,0.0400825,0.089392,0,0,1
0.5,39,3.8825,17,17,-1,-1,1,-1,1,1,1,0,1,1,0,1,-1,-5.09224,-0.033357,-0.0880163,1,0,1
0.5,40,3.96291,13,13,-1,-1,1,-1,1,1,1,0,1,1,0,1,-1,-5,-0.163591,0.0202015,1,0,1
0.5,41,4.12818,4,4,-1,-1,1,-1,0,1,1,0,0,1,0,1,-1,-4.94262,0.1163,0.0626405,1,1,1
0.5,42,4.27916,23,23,-1,-1,1,-1,0,1,1,0,0,1,0,1,-1,-4.79867,0.11782,-0.0716834,0,2,1
0.5,43,4.3673,7,7,-1,-1,1,-1,0,1,1,0,0,1,0,1,-1,-4.9301,-0.0179966,0.0340398,1,1,1
0.5,44,4.5961,18,18,-1,-1,1,-1,0,1,1,0,1,1,0,1,-1,-4.83626,0,-0.0341123,1,1,1
0.5,45,4.69986,1,1,-1,-1,1,-1,0,0,1,0,0,1,0,1,-1,-5.02015,0.098107,-0.00571052,0,2,1
0.5,46,4.7183,19,19,-1,-1,1,-1,0,1,1,0,1,1,0,1,-1,-4.96258,0.0106202,-0.000921581,2,0,1
0.5,47,4.94079,0,0,-1,-1,1,-1,0,0,1,0,0,1,0,1,-1,-4.81748,0.0819844,0.0284363,1,1,1
0.5,48,4.97152,2,2,-1,-1,1,-1,0,1,1,0,0,1,0,1,-1,-5,0,0.0523011,0,2,1
0.5,49,4.97258,8,8,-1,-1,1,-1,0,1,1,0,1,1,0,1,-1,-5.05536,-0.0249195,0.0340398,1,1,1
0.5,50,5.44633,12,12,-1,-1,1,-1,0,0,2,1,1,1,0,0,5.44633,-4.98485,0.0372551,0,1,0,0
0.5,51,6.0914,24,24,-1,-1,1,-1,1,1,2,1,0,1,0,1,-1,-4.97336,0.123336,-0.0452988,0,0,1
0.5,52,6.19515,22,22,-1,-1,1,-1,1,0,2,1,0,1,0,1,-1,-4.97135,0,-0.0222648,0,0,1
0.5,53,6.23488,14,14,-1,-1,1,-1,1,0,2,1,1,1,0,1,-1,-4.88271,-0.0251456,0.16185,0,0,1
0.5,54,6.52225,10,10,-1,-1,1,-1,1,0,2,1,0,1,0,1,-1,-5.0804,-0.0950704,-0.0307929,0,0,1
0.5,55,6.56717,16,16,-1,-1,1,-1,1,1,2,1,1,1,0,1,-1,-4.78315,-0.0172881,-0.055587,0,0,1
0.5,56,6.59967,11,11,-1,-1,1,-1,1,1,2,1,0,1,0,1,-1,-5.08048,-0.065687,-0.0127983,0,0,1
0.5,57,6.8825,17,17,-1,-1,1,-1,1,1,2,1,1,1,0,1,-1,-5.09224,-0.033357,-0.0880163,0,0,1
0.5,58,6.96291,13,13,-1,-1,1,-1,1,0,2,1,1,1,0,1,-1,-5,-0.163591,0.0202015,0,0,1
0.5,59,6.97152,2,2,-1,-1,1,-1,1,1,2,0,0,2,0,0,6.97152,-5,0,0.0523011,0,2,0
0.5,60,7.08317,21,21,-1,-1,1,-1,0,0,2,1,0,1,0,1,-1,-4.99899,-0.0636564,0.0654322,1,1,1
