gtime,event,choice_int_avg,choice_int_std,choice_slope_avg,choice_slope_std,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std
1240.08,363182,0.000424073,0.00951885,-0.00185024,0.0132124,-5.00025,0.00967218,1025,450,1,0.158114,19,20.447,6,7.10113
1250.08,366105,0.000444303,0.0094468,-0.00190273,0.0132724,-5.00017,0.00948426,1024,525,1,0.154919,19,20.6836,6,7.19097
1260.08,369019,0.000557243,0.0097921,-0.00185192,0.0129472,-5.00022,0.00942831,1024,606,1,0.161245,19,20.8835,6,7.2541
1270.08,371954,0.000526777,0.0101821,-0.00198323,0.0131421,-5.00036,0.00967784,1024,689,1,0.154919,19,21.0655,6,7.21692
1280.08,374914,0.000448899,0.0100786,-0.00202275,0.0133819,-5.00037,0.00994468,1023,770,1,0.151658,19,21.0917,6,7.24514
1290.08,377806,0.000444976,0.0100936,-0.00206898,0.0135324,-5.00038,0.0100355,1025,845,1,0.158114,19,21.1782,6,7.28992
1300.08,380762,0.000480532,0.00998547,-0.00213459,0.0140794,-5.00046,0.00985319,1021,82,1,0.151658,20,21.3068,6,7.36811
1310.08,383696,0.000445715,0.0100067,-0.00224118,0.0142291,-5.00046,0.0099411,1017,155,1,0.13784,20,21.5961,6,7.44533
1320.08,386620,0.000467994,0.0101532,-0.00243622,0.0145247,-5.00044,0.0097859,1020,234,1,0.141421,20,21.7514,6,7.5082
1330.08,389572,0.000627286,0.0105878,-0.00247825,0.0142693,-5.00051,0.0104578,1022,329,1,0.148324,20,21.6543,6,7.51272
1340.08,392515,0.000518951,0.010902,-0.00253065,0.014346,-5.00061,0.0102861,1023,419,1,0.151658,20,21.5278,6,7.5058
1350.08,395448,0.000533041,0.0107827,-0.00263457,0.0146268,-5.00067,0.0105377,1023,508,1,0.158114,20,21.8701,6,7.60651
1360.08,398391,0.000707681,0.0105261,-0.00263444,0.0146803,-5.00064,0.0105498,1021,601,1,0.144914,20,21.8344,6,7.59329
1370.08,401296,0.000842349,0.0101948,-0.00263403,0.0148957,-5.00068,0.0105529,1018,664,1,0.134164,19,21.5316,6,7.47971
1380.08,404230,0.000790769,0.0105502,-0.00246668,0.0148155,-5.00063,0.0103909,1020,763,1,0.141421,19,21.7512,6,7.49446
1390.08,407142,0.000955444,0.0103975,-0.00244269,0.0149483,-5.00068,0.0103708,1021,826,1,0.144914,19,21.7057,6,7.52662
1400.08,410092,0.000976622,0.0107344,-0.00249292,0.0152239,-5.00083,0.0108518,1021,82,1,0.158114,19,21.9221,6,7.6092
1410.08,413031,0.000973112,0.0107621,-0.00258723,0.0152844,-5.00085,0.0108209,1024,184,1,0.154919,20,22.0374,6,7.62483
1420.08,415975,0.00109508,0.0109824,-0.00255494,0.0156348,-5.00072,0.0105171,1024,275,1,0.161245,20,22.1435,6,7.68947
1430.08,418920,0.00108739,0.0109997,-0.00249846,0.0153309,-5.00062,0.0106067,1025,370,1,0.158114,20,22.1678,6,7.73227
1440.08,421855,0.00100562,0.0109033,-0.00273271,0.0158718,-5.00063,0.0108453,1022,445,1,0.154919,20,22.1017,6,7.63904
1450.08,424783,0.000954351,0.0109263,-0.00273856,0.015827,-5.00078,0.0104421,1021,537,1,0.144914,20,22.0174,6,7.63217
1460.08,427727,0.00077811,0.0109496,-0.00281143,0.0160595,-5.00085,0.0103883,1021,628,1,0.144914,19,21.6068,6,7.53777
1470.08,430678,0.000597846,0.0105431,-0.00288752,0.0162992,-5.00059,0.0097376,1017,725,1,0.13784,19,21.466,6,7.47937
1480.08,433618,0.000488215,0.0101628,-0.00289666,0.0164475,-5.00074,0.010306,1021,813,1,0.144914,19,21.4842,6,7.48438
1490.08,436544,0.000596385,0.0106174,-0.00270066,0.0155288,-5.00085,0.0104643,1022,898,1,0.148324,19,21.4241,6,7.41734
