dForagingSD,dForagingMean,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,num_femlarva,num_malelarva,num_adults,beta0,beta1,beta2,beta3,beta4
0.5,0.5,113,16.6649,4,4,-1,-1,1,-1,0,1,4,1,2,3,0,1,-1,-4.97628,3,1,1,-0.0847636,0.022031,-0.00601303,0.103662,-0.0106452
0.5,0.5,114,16.6919,21,21,-1,-1,1,-1,0,1,4,2,1,2,0,1,-1,-4.96022,2,1,1,-0.0168527,0.16389,-0.0550305,-0.057446,0.089305
0.5,0.5,115,16.7042,19,19,-1,-1,1,-1,1,1,4,2,2,2,0,1,-1,-5.02442,0,0,1,-0.106078,0.0371089,-0.00660117,-0.0707741,0.0364049
0.5,0.5,116,16.708,17,17,-1,-1,1,-1,0,1,4,1,0,3,0,1,-1,-5.02224,0,3,1,-0.112603,0.0271146,0.162476,-0.0153593,-0.0769137
0.5,0.5,117,16.7099,16,16,-1,-1,1,-1,1,0,4,0,3,4,0,1,-1,-5.01199,3,1,1,-0.0247402,0.0271146,0.133389,0.03932,-0.0787129
0.5,0.5,118,16.761,11,11,-1,-1,1,-1,1,1,4,1,3,3,0,1,-1,-4.96126,2,0,1,-0.15524,0.0601057,-0.0161574,-0.0134139,0.0207144
0.5,0.5,119,16.7827,5,5,-1,-1,1,-1,1,1,4,3,1,1,0,1,-1,-5.01863,0,0,1,-0.100479,0.0271146,-0.0339583,0.113556,-0.0299462
0.5,0.5,120,16.8599,3,3,-1,-1,1,-1,1,1,4,2,1,2,0,1,-1,-4.99536,1,1,1,-0.0221732,0.00842148,-0.0772051,0.129823,-0.0143039
0.5,0.5,121,16.9065,14,14,-1,-1,1,-1,0,1,4,2,0,2,0,1,-1,-4.94787,0,3,1,-0.063825,-0.0252736,0.0768201,0.0418522,0.0168139
0.5,0.5,122,16.9529,20,20,-1,-1,1,-1,1,1,4,0,1,4,0,1,-1,-5.00728,1,3,1,-0.10961,-0.049931,0.03834,-0.199166,-0.0299335
