dForagingSD,dForagingMean,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,choice_int,choice_slope,num_femlarva,num_malelarva,num_adults
0.5,1,888,241.905,5,5,-1,-1,1,-1,1,1,70,38,13,32,0,1,-1,-4.97351,-0.0324419,-0.0390477,2,3,1
0.5,1,889,241.97,21,21,-1,-1,1,-1,1,1,67,26,18,41,0,1,-1,-4.93527,0.0871568,-0.00588109,6,5,1
0.5,1,890,242.193,23,23,-1,-1,1,-1,1,1,70,37,16,33,0,1,-1,-4.96746,0.0727422,0,0,1,1
0.5,1,891,242.258,4,4,-1,-1,1,-1,1,0,69,33,20,36,0,1,-1,-5.15306,-0.0100077,-0.00121488,4,2,1
0.5,1,892,243.604,1,1,-1,-1,1,-1,0,1,68,29,18,39,0,1,-1,-5.01783,0,0,1,5,1
0.5,1,893,243.855,13,13,-1,-1,1,-1,0,1,71,41,17,30,0,1,-1,-5.06782,0.0562335,-0.12991,3,0,1
0.5,1,894,244.905,5,5,-1,-1,1,-1,1,1,71,39,13,32,0,1,-1,-4.97351,-0.0324419,-0.0390477,1,3,1
0.5,1,895,244.97,21,21,-1,-1,1,-1,1,1,68,27,18,41,0,1,-1,-4.93527,0.0871568,-0.00588109,5,5,1
0.5,1,896,245.193,23,23,-1,-1,1,-1,1,0,71,38,16,33,0,1,-1,-4.96746,0.0727422,0,0,1,1
0.5,1,897,246.258,4,4,-1,-1,1,-1,0,1,70,34,20,36,0,1,-1,-5.15306,-0.0100077,-0.00121488,5,2,1
0.5,1,898,246.604,1,1,-1,-1,1,-1,1,1,69,29,19,40,0,1,-1,-5.01783,0,0,1,4,1
0.5,1,899,246.855,13,13,-1,-1,1,-1,1,1,72,41,18,31,0,1,-1,-5.06782,0.0562335,-0.12991,2,0,1
0.5,1,900,247.905,5,5,-1,-1,1,-1,1,1,72,40,13,32,0,1,-1,-4.97351,-0.0324419,-0.0390477,1,3,1
0.5,1,901,247.97,21,21,-1,-1,1,-1,1,1,69,28,18,41,0,1,-1,-4.93527,0.0871568,-0.00588109,4,4,1
0.5,1,902,249.193,23,23,-1,-1,1,-1,0,1,72,39,16,33,0,1,-1,-4.96746,0.0727422,0,0,2,1
0.5,1,903,249.258,4,4,-1,-1,1,-1,1,0,71,34,21,37,0,1,-1,-5.15306,-0.0100077,-0.00121488,5,2,1
0.5,1,904,249.604,1,1,-1,-1,1,-1,1,1,70,30,19,40,0,1,-1,-5.01783,0,0,1,4,1
0.5,1,905,249.855,13,13,-1,-1,1,-1,1,0,73,42,18,31,0,1,-1,-5.06782,0.0562335,-0.12991,2,0,1
0.5,1,906,250.905,5,5,-1,-1,1,-1,1,1,73,41,13,32,0,1,-1,-4.97351,-0.0324419,-0.0390477,1,2,1
0.5,1,907,250.97,21,21,-1,-1,1,-1,1,1,70,29,18,41,0,1,-1,-4.93527,0.0871568,-0.00588109,4,3,1
0.5,1,908,252.193,23,23,-1,-1,1,-1,1,0,73,39,16,34,0,1,-1,-4.96746,0.0727422,0,0,1,1
0.5,1,909,252.604,1,1,-1,-1,1,-1,1,1,71,31,19,40,0,1,-1,-5.01783,0,0,1,3,1
