dForagingSD,dForagingMean,gtime,event,choice_int_avg,choice_int_std,choice_slope_avg,choice_slope_std,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std
0.5,1,8290.22,2459690,-0.000682363,0.0524336,-0.0364905,0.0581316,-4.98668,0.0591835,1027,7721,1,0.176068,3,3.70351,2,3.71658,5,6.98591
0.5,1,8300.22,2462628,-0.000350707,0.0525584,-0.0362856,0.0580994,-4.98632,0.0593463,1027,4041,1,0.170294,2,2.38914,2,2.36981,4,4.25088
0.5,1,8310.22,2465594,-0.000836818,0.0529128,-0.0354979,0.057406,-4.98717,0.0593572,1027,4429,1,0.170294,2,2.57041,2,2.48676,4,4.56322
0.5,1,8320.22,2468566,-0.000152203,0.0523128,-0.0354296,0.0573217,-4.9875,0.0592625,1030,4837,1,0.178885,2,2.79553,2,2.62831,5,4.81155
0.5,1,8330.22,2471551,-0.000392246,0.0525611,-0.0368157,0.0587348,-4.98716,0.0599658,1032,5213,1,0.189737,2,2.97977,2,2.80678,5,5.15762
0.5,1,8340.22,2474538,-0.000559252,0.0527135,-0.0373525,0.0589758,-4.98666,0.06019,1033,5638,1,0.187083,2,3.11657,2,2.93803,5,5.4348
0.5,1,8350.22,2477535,-0.00128953,0.0524031,-0.037262,0.0591302,-4.98603,0.0602606,1037,6069,1,0.197484,2,3.21248,2,3.13097,5,5.77451
0.5,1,8360.22,2480507,-0.00157328,0.0529464,-0.0367966,0.0588618,-4.9869,0.0602429,1033,6471,1,0.181659,2,3.43744,2,3.30666,5,6.11588
0.5,1,8370.22,2483517,-0.00113938,0.0525194,-0.0365929,0.0592982,-4.98744,0.0611988,1036,6886,1,0.189737,2,3.55921,2,3.43103,5,6.41654
0.5,1,8380.22,2486492,-0.000649455,0.0527498,-0.0360697,0.0593775,-4.9883,0.0612285,1034,7308,1,0.184391,2,3.68863,2,3.58218,5,6.70209
0.5,1,8390.22,2489492,-0.000794287,0.0529776,-0.0369908,0.0603336,-4.98774,0.061862,1036,7718,1,0.189737,3,3.68212,2,3.73376,5,7.0015
0.5,1,8400.22,2492487,-0.000838,0.0535609,-0.0370803,0.059944,-4.98779,0.0614929,1035,4016,1,0.187083,2,2.32594,2,2.42652,4,4.30906
0.5,1,8410.22,2495482,-0.00102607,0.0530729,-0.0373487,0.0599767,-4.98777,0.060688,1036,4413,1,0.189737,2,2.55519,2,2.67937,4,4.74637
0.5,1,8420.22,2498439,-0.000938565,0.0527599,-0.0369528,0.0597783,-4.98738,0.0604315,1031,4810,1,0.181659,2,2.70204,2,2.94075,5,5.07001
0.5,1,8430.22,2501435,-0.000330099,0.052472,-0.0378974,0.0592799,-4.9876,0.0601082,1031,5198,1,0.176068,2,2.89569,2,3.09419,5,5.37448
0.5,1,8440.22,2504422,-0.000334673,0.0534943,-0.0377997,0.0589142,-4.9888,0.0605578,1035,5607,1,0.187083,2,3.05434,2,3.36021,5,5.81412
