dForagingSD,dForagingMean,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,num_femlarva,num_malelarva,num_adults,beta1,beta2,beta3,beta4,beta5
0.5,0.5,886,199.838,19,19,-1,-1,1,-1,1,1,60,40,12,20,0,1,-1,-5.07648,3,0,1,0.00610532,-0.28799,-0.197357,0.0345607,0.0294144
0.5,0.5,887,200.347,17,17,-1,-1,1,-1,0,1,59,36,13,23,0,1,-1,-4.91,1,6,1,-0.00144979,-0.0753822,0.0226075,0.0756856,-0.0784776
0.5,0.5,888,201.066,23,23,-1,-1,1,-1,1,1,58,30,19,28,0,1,-1,-5.03932,11,1,1,0.0283413,-0.0602592,0,0.172534,0.0908856
0.5,0.5,889,201.067,13,13,-1,-1,1,-1,0,0,59,35,13,24,0,1,-1,-5.15135,1,3,1,-0.163985,-0.0817385,0.00174405,0.100282,0
0.5,0.5,890,201.162,20,20,-1,-1,1,-1,1,1,60,38,13,22,0,1,-1,-5,3,2,1,-0.0804164,-0.0965255,0.00108219,0.130138,0.000639042
0.5,0.5,891,201.443,12,12,-1,-1,1,-1,1,1,59,34,9,25,0,1,-1,-4.92248,2,2,1,0.178744,-0.1772,0.00425334,0.0642481,0.0904431
0.5,0.5,892,201.948,5,5,-1,-1,1,-1,0,0,58,31,14,27,0,1,-1,-5.06605,1,5,1,-0.0258213,-0.0819915,0.0287171,0.159621,0.00841252
0.5,0.5,893,202.279,6,6,-1,-1,1,-1,1,1,60,37,11,23,0,1,-1,-5.13016,2,2,1,0,-0.123615,0.0145796,-0.00948546,-0.0524241
0.5,0.5,894,202.421,3,3,-1,-1,1,-1,1,1,60,37,9,23,0,1,-1,-5.08423,3,0,1,0.0204141,-0.219653,-0.0279834,-0.0631056,0
0.5,0.5,895,202.838,19,19,-1,-1,1,-1,1,1,61,41,12,20,0,1,-1,-5.07648,2,0,1,0.00610532,-0.28799,-0.197357,0.0345607,0.0294144
0.5,0.5,896,203.347,17,17,-1,-1,1,-1,1,1,60,36,13,24,0,1,-1,-4.91,0,5,1,-0.00144979,-0.0753822,0.0226075,0.0756856,-0.0784776
0.5,0.5,897,204.066,23,23,-1,-1,1,-1,1,1,59,31,19,28,0,1,-1,-5.03932,6,1,1,0.0283413,-0.0602592,0,0.172534,0.0908856
0.5,0.5,898,204.162,20,20,-1,-1,1,-1,1,1,61,39,13,22,0,1,-1,-5,3,2,1,-0.0804164,-0.0965255,0.00108219,0.130138,0.000639042
0.5,0.5,899,204.443,12,12,-1,-1,1,-1,1,1,60,35,9,25,0,1,-1,-4.92248,2,2,1,0.178744,-0.1772,0.00425334,0.0642481,0.0904431
0.5,0.5,900,205.067,13,13,-1,-1,1,-1,0,1,60,35,13,25,0,1,-1,-5.15135,1,4,1,-0.163985,-0.0817385,0.00174405,0.100282,0
0.5,0.5,901,205.279,6,6,-1,-1,1,-1,1,1,61,38,11,23,0,1,-1,-5.13016,2,2,1,0,-0.123615,0.0145796,-0.00948546,-0.0524241
0.5,0.5,902,205.421,3,3,-1,-1,1,-1,1,0,61,38,9,23,0,1,-1,-5.08423,3,0,1,0.0204141,-0.219653,-0.0279834,-0.0631056,0
0.5,0.5,903,205.838,19,19,-1,-1,1,-1,1,1,62,42,12,20,0,1,-1,-5.07648,2,0,1,0.00610532,-0.28799,-0.197357,0.0345607,0.0294144
0.5,0.5,904,205.948,5,5,-1,-1,1,-1,0,1,59,31,14,28,0,1,-1,-5.06605,1,6,1,-0.0258213,-0.0819915,0.0287171,0.159621,0.00841252
0.5,0.5,905,206.347,17,17,-1,-1,1,-1,1,0,61,37,13,24,0,1,-1,-4.91,0,4,1,-0.00144979,-0.0753822,0.0226075,0.0756856,-0.0784776
0.5,0.5,906,207.066,23,23,-1,-1,1,-1,1,0,60,32,19,28,0,1,-1,-5.03932,6,1,1,0.0283413,-0.0602592,0,0.172534,0.0908856
0.5,0.5,907,207.162,20,20,-1,-1,1,-1,1,1,62,40,13,22,0,1,-1,-5,2,2,1,-0.0804164,-0.0965255,0.00108219,0.130138,0.000639042
