dForagingSD,dForagingMean,gtime,event,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std,beta1_avg,beta1_std,beta2_avg,beta2_std,beta3_avg,beta3_std,beta4_avg,beta4_std,beta5_avg,beta5_std
0.5,0.5,5800.11,1666691,-5.00786,0.0514226,1028,2600,1,0.173205,2,2.20068,2,2.38851,4,4.04994,-0.012491,0.0605352,-0.103005,0.0887481,-0.00431706,0.0613111,0.0171249,0.0613976,-0.00609274,0.0540511
0.5,0.5,5850.11,1681422,-5.00634,0.051653,1021,3948,1,0.158114,3,3.05549,3,3.07734,6,5.59571,-0.0118121,0.0611929,-0.103057,0.0883687,-0.00482104,0.060507,0.019054,0.0626518,-0.00696336,0.0546678
0.5,0.5,5900.11,1695931,-5.00629,0.0522096,1014,2562,1,0.141421,2,2.26451,2,2.25122,4,3.92122,-0.0113253,0.0611852,-0.108532,0.0882909,-0.00332303,0.0618534,0.0182517,0.0610382,-0.0101568,0.0556973
0.5,0.5,5950.11,1710445,-5.00757,0.0522881,1014,3784,1,0.134164,2,2.99149,2,3.145,5,5.36265,-0.0118255,0.061423,-0.109871,0.0891833,-0.00237091,0.0631865,0.0187318,0.0608959,-0.0104849,0.0566896
0.5,0.5,6000.11,1725063,-5.0078,0.0524621,1020,2522,1,0.148324,2,2.06301,2,2.16656,4,3.64253,-0.0105435,0.0626073,-0.107391,0.0868153,-0.0035491,0.0632006,0.0175142,0.0598112,-0.0100663,0.0575725
0.5,0.5,6050.11,1739699,-5.00728,0.0529609,1013,3847,1,0.122474,2,2.72874,2,3.0491,5,4.94742,-0.0105223,0.0624218,-0.108611,0.0850439,-0.00306573,0.0638162,0.0167891,0.0582984,-0.00854078,0.0570148
0.5,0.5,6100.11,1754255,-5.00696,0.0535429,1009,2655,1,0.0948683,2,2.01494,2,2.23808,4,3.65281,-0.0105256,0.0613172,-0.110501,0.0855188,-0.00376544,0.0630045,0.0176977,0.0585949,-0.0089514,0.0581823
0.5,0.5,6150.11,1768791,-5.00781,0.0542941,1015,3968,1,0.122474,2,2.77092,2,2.90121,5,4.88825,-0.0127339,0.0628519,-0.110392,0.0838845,-0.00535479,0.0625738,0.0166136,0.0602503,-0.00811977,0.0564496
0.5,0.5,6200.11,1783388,-5.00931,0.053264,1017,2675,1,0.130384,2,2.0025,2,2.06204,4,3.42841,-0.0113724,0.0615557,-0.112976,0.0834426,-0.00446624,0.0613977,0.0159678,0.0613674,-0.0078513,0.0551581
0.5,0.5,6250.11,1798019,-5.00982,0.0547016,1022,4006,1,0.154919,2,2.70167,2,2.59461,5,4.53663,-0.0125861,0.063926,-0.11527,0.0847183,-0.00509576,0.0613164,0.0173912,0.0615851,-0.00917858,0.0559556
0.5,0.5,6300.11,1812652,-5.00839,0.0553443,1022,2686,1,0.148324,2,1.92302,2,1.84851,4,3.18575,-0.0111953,0.0654375,-0.118028,0.0864429,-0.00683976,0.0644906,0.0215257,0.0664388,-0.010019,0.0555291
0.5,0.5,6350.11,1827348,-5.00783,0.0542503,1023,4071,1,0.151658,2,2.63135,2,2.5894,5,4.46733,-0.0114471,0.0645163,-0.120074,0.089121,-0.00454311,0.063274,0.0217599,0.066304,-0.00790397,0.0578565
0.5,0.5,6400.12,1842056,-5.00821,0.0537941,1021,2742,1,0.151658,2,1.8767,2,1.92899,4,3.22289,-0.0133588,0.065176,-0.1222,0.0917192,-0.00481906,0.0645304,0.0213157,0.0670289,-0.00647654,0.0594738
0.5,0.5,6450.12,1856732,-5.00812,0.0540502,1016,4140,1,0.126491,2,2.4452,2,2.55852,5,4.33163,-0.01296,0.0652098,-0.125749,0.0931784,-0.00478227,0.0657884,0.0222644,0.0675961,-0.00569595,0.0591759
0.5,0.5,6500.12,1871403,-5.00717,0.0521885,1021,2763,1,0.144914,2,1.90945,2,1.89473,4,3.1975,-0.0146505,0.0621514,-0.1291,0.0951258,-0.00598236,0.0664345,0.0225044,0.0687768,-0.00527923,0.059025
0.5,0.5,6550.15,1886062,-5.00685,0.0528855,1022,4161,1,0.161245,2,2.62221,2,2.59654,5,4.49199,-0.0156319,0.0628968,-0.127991,0.0956202,-0.00623992,0.0665488,0.0226142,0.0680372,-0.00799217,0.0580771
0.5,0.5,6600.15,1900783,-5.00718,0.0529098,1026,2705,1,0.178885,2,1.90289,2,1.93339,4,3.28314,-0.018112,0.0656732,-0.131747,0.0970495,-0.00553876,0.0664348,0.0250312,0.0717923,-0.00848462,0.0569738
0.5,0.5,6650.15,1915583,-5.0092,0.0537167,1025,4067,1,0.181659,2,2.55519,2,2.48817,5,4.35316,-0.0191318,0.0667675,-0.132496,0.0986861,-0.00516884,0.0674541,0.0230857,0.0724949,-0.00849543,0.0575103
0.5,0.5,6700.15,1930317,-5.00971,0.0530618,1021,2789,1,0.151658,2,1.97434,2,1.93313,4,3.30469,-0.0193494,0.0673641,-0.134548,0.0991716,-0.00515905,0.0645381,0.0207541,0.0728719,-0.00882512,0.0573584
0.5,0.5,6750.15,1945025,-5.00896,0.0498882,1021,4189,1,0.158114,2,2.54696,2,2.56301,5,4.37721,-0.0181277,0.0683849,-0.131532,0.0983843,-0.00439126,0.0678113,0.0192742,0.0697338,-0.00850584,0.0572983
0.5,0.5,6800.15,1959802,-5.00952,0.0496158,1023,2737,1,0.164317,2,2.01122,2,1.9352,4,3.40764,-0.0164172,0.0717242,-0.131747,0.0983524,-0.00647226,0.0670678,0.0177172,0.0694708,-0.0102516,0.0577814
0.5,0.5,6850.15,1974476,-5.01041,0.048427,1019,4106,1,0.164317,2,2.67638,2,2.49038,5,4.45634,-0.018964,0.070853,-0.133019,0.0958947,-0.00581748,0.065149,0.0158625,0.0692011,-0.00906551,0.0592703
0.5,0.5,6900.15,1989192,-5.00914,0.0499263,1015,2686,1,0.158114,2,1.96342,2,1.95218,4,3.313,-0.0187082,0.0700673,-0.132555,0.0948218,-0.00515577,0.064623,0.0145599,0.0691863,-0.00827613,0.0594283
